Vehicle_Name,Name,Price($),InventoryType,Distance from 30342,Dealership
2018-Audi-A3,2018 Audi A3 2.0T Premium,"$37,895",Used,7 mi. from 30341,Gravity Autos Sandy Springs
2020-Audi-Q5,2020 Audi Q5 e 55 Premium,"$57,995",Audi Certified,0 mi. from 30341,Audi Atlanta
2018-Audi-A5,2018 Audi A5 Premium Plus,"$33,999",Used,25 mi. from 30341,"Vroom - Get It Delivered Nationwide, Contact-Free"
2018-Audi-Q7,2018 Audi Q7 3.0T Premium Plus,"$53,470",Used,137 mi. from 30341,Harper Audi
2018-Audi-R8,2018 Audi R8 5.2 quattro,"$176,500",Used,7 mi. from 30341,Motorcars of Atlanta
2018-Audi-R8,2018 Audi R8 5.2 quattro,"$176,500",Used,7 mi. from 30341,Motorcars of Atlanta
2019-Audi-Q7,2019 Audi Q7 55 Premium Plus,"$56,495",Used,26 mi. from 30341,Audi South Atlanta
2020-Audi-A6,2020 Audi A6 55 Premium Plus,"$52,995",Audi Certified,0 mi. from 30341,Audi Atlanta
2018-Audi-Q7,2018 Audi Q7 3.0T Premium Plus,"$50,990",Used,153 mi. from 30341,Carvana-Touchless Delivery To Your Home
2019-Audi-Q7,2019 Audi Q7 55 Prestige,"$58,241",Used,137 mi. from 30341,Harper Audi
2013-Audi-S6,2013 Audi S6 4.0T Prestige,"$31,990",Used,105 mi. from 30341,Carvana-Touchless Delivery To Your Home
2020-Audi-S4,2020 Audi S4 3.0T Prestige,"$63,465",Audi Certified,15 mi. from 30341,Audi Marietta
2018-Audi-Q7,2018 Audi Q7 3.0T Premium Plus,"$47,000",Used,137 mi. from 30341,Courtesy Buick GMC
2019-Audi-Q5,2019 Audi Q5 2.0T Premium,"$39,995",Used,129 mi. from 30341,Steve White Volkswagen Audi - Greenville
2021-Audi-Q7,2021 Audi Q7 55 Premium,"$86,295",Used,26 mi. from 30341,Audi South Atlanta
2019-Audi-Q7,2019 Audi Q7 55 Prestige,"$65,295",Audi Certified,11 mi. from 30341,Audi Gwinnett
2018-Audi-Q5,2018 Audi Q5 2.0T Prestige,"$44,995",Audi Certified,129 mi. from 30341,Steve White Volkswagen Audi - Greenville
2021-Audi-A4,2021 Audi A4 40 Premium Plus,"$46,992",Audi Certified,10 mi. from 30341,Audi North Atlanta
2018-Audi-S4,2018 Audi S4 3.0T Premium Plus,"$44,990",Used,154 mi. from 30341,Carvana-Touchless Delivery To Your Home
2018-Audi-RS,2018 Audi RS 5 2.9T,"$75,984",Used,137 mi. from 30341,Harper Audi
2018-Audi-Q7,2018 Audi Q7 3.0T Prestige,"$53,995",Audi Certified,129 mi. from 30341,Steve White Volkswagen Audi - Greenville
2012-Audi-A7,2012 Audi A7 Premium,"$22,499",Used,184 mi. from 30341,"Vroom - Get It Delivered Nationwide, Contact-Free"
2019-Audi-A3,2019 Audi A3 2.0T Premium,"$34,990",Used,23 mi. from 30341,ALM Mall of GA
2015-Audi-A8,2015 Audi A8 L 4.0T,"$43,990",Used,148 mi. from 30341,Carvana-Touchless Delivery To Your Home
2019-Audi-A8,2019 Audi A8 L 55,"$65,995",Used,0 mi. from 30341,Gravity Autos Atlanta
2018-Audi-Q3,2018 Audi Q3 2.0T Premium,"$28,990",Used,14 mi. from 30341,Carvana-Touchless Delivery To Your Home
2015-Audi-A4,2015 Audi A4 2.0T Premium Plus,"$19,990",Used,85 mi. from 30341,Carvana-Touchless Delivery To Your Home
2019-Audi-A3,2019 Audi A3 2.0T Premium,"$36,762",Used,137 mi. from 30341,Harper Audi
