Vehicle_Name,Name,Price($),InventoryType,Distance from 30341,Dealership
2022-Audi-SQ5,2022 Audi SQ5 Premium Plus,"$66,960",New,11 mi. from 30341,Audi Gwinnett
2022-Audi-Q5,2022 Audi Q5 S line Premium,"$50,110",New,11 mi. from 30341,Audi Gwinnett
2022-Audi-Q3,2022 Audi Q3 S line Premium Plus,"$44,315",New,11 mi. from 30341,Audi Gwinnett
2022-Audi-SQ5,2022 Audi SQ5 Premium,"$59,260",New,11 mi. from 30341,Audi Gwinnett
2022-Audi-Q7,2022 Audi Q7 Premium Plus,"$65,180",New,11 mi. from 30341,Audi Gwinnett
2022-Audi-Q7,2022 Audi Q7 55 Premium,"$78,940",New,10 mi. from 30341,Audi North Atlanta
2022-Audi-Q5,2022 Audi Q5 45 S line quattro Premium,"$59,405",New,10 mi. from 30341,Audi North Atlanta
2022-Audi-A4,2022 Audi A4 40 Premium,"$44,135",New,10 mi. from 30341,Audi North Atlanta
2022-Audi-Q5,2022 Audi Q5 45 S line quattro Premium,"$54,055",New,10 mi. from 30341,Audi North Atlanta
2022-Audi-Q3,2022 Audi Q3 40 Premium,"$40,195",New,10 mi. from 30341,Audi North Atlanta
2022-Audi-Q3,2022 Audi Q3 40 Premium,"$40,195",New,10 mi. from 30341,Audi North Atlanta
2022-Audi-A4,2022 Audi A4 40 Premium,"$44,730",New,10 mi. from 30341,Audi North Atlanta
2022-Audi-Q5,2022 Audi Q5 45 S line quattro Premium,"$56,455",New,10 mi. from 30341,Audi North Atlanta
2022-Audi-SQ5,2022 Audi SQ5 3.0T Premium,"$67,860",New,10 mi. from 30341,Audi North Atlanta
2022-Audi-Q5,2022 Audi Q5 45 S line quattro Premium,"$49,560",New,10 mi. from 30341,Audi North Atlanta
2022-Audi-Q3,2022 Audi Q3 40 Premium,"$40,195",New,10 mi. from 30341,Audi North Atlanta
2022-Audi-SQ5,2022 Audi SQ5 3.0T Premium,"$60,260",New,10 mi. from 30341,Audi North Atlanta
2022-Audi-Q5,2022 Audi Q5 45 S line quattro Premium,"$56,955",New,10 mi. from 30341,Audi North Atlanta
2022-Audi-Q5,2022 Audi Q5 45 S line quattro Premium,"$55,690",New,10 mi. from 30341,Audi North Atlanta
2022-Audi-Q5,2022 Audi Q5 45 S line quattro Premium,"$56,355",New,10 mi. from 30341,Audi North Atlanta
2022-Audi-Q3,2022 Audi Q3 45 S line Premium,"$44,195",New,10 mi. from 30341,Audi North Atlanta
2022-Audi-e-tron,2022 Audi e-tron GT Prestige,"$123,240",New,15 mi. from 30341,Audi Marietta
2022-Audi-Q8,2022 Audi Q8 55 Premium,"$74,365",New,15 mi. from 30341,Audi Marietta
2022-Audi-Q7,2022 Audi Q7 55 Premium Plus,"$71,540",New,15 mi. from 30341,Audi Marietta
2022-Audi-RS,2022 Audi RS 7 4.0T quattro,"$142,540",New,15 mi. from 30341,Audi Marietta
